as_of_date,pair,tenor,quote_type,value,ticker,field,source,snapped_at
2026-09-17,EURUSD,2M,RR25,-0.1825,EURUSD25R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2W,ATM,4.6525,EURUSDV2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2W,BF10,0.425,EURUSD10B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2W,BF25,0.1225,EURUSD25B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2W,RR10,-0.4125,EURUSD10R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2W,RR25,-0.2225,EURUSD25R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,3M,ATM,5.2725,EURUSDV3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,3M,BF10,0.6125,EURUSD10B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,3M,BF25,0.1675,EURUSD25B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,3M,RR10,-0.2875,EURUSD10R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,3M,RR25,-0.1525,EURUSD25R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,6M,ATM,5.505,EURUSDV6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,6M,BF10,0.825,EURUSD10B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,6M,BF25,0.2175,EURUSD25B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,6M,RR10,-0.27,EURUSD10R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,6M,RR25,-0.1475,EURUSD25R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,9M,ATM,5.9625,EURUSDV9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,9M,BF10,0.9875,EURUSD10B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,9M,BF25,0.26,EURUSD25B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,9M,RR10,-0.2925,EURUSD10R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,9M,RR25,-0.1525,EURUSD25R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,ON,ATM,3.685,EURUSDVON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,ON,BF10,0.3725,EURUSD10BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,ON,BF25,0.12,EURUSD25BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,ON,RR10,-0.3725,EURUSD10RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,ON,RR25,-0.2125,EURUSD25RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1M,ATM,6.1,USDCHFV1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1M,BF10,0.47,USDCHF10B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1M,BF25,0.1325,USDCHF25B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1M,RR10,-0.75,USDCHF10R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1M,RR25,-0.3975,USDCHF25R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1W,ATM,6.465,USDCHFV1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1W,BF10,0.4125,USDCHF10B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1W,BF25,0.125,USDCHF25B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1W,RR10,-0.5775,USDCHF10R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1W,RR25,-0.3075,USDCHF25R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1Y,ATM,7.235,USDCHFV1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1Y,BF10,1.0825,USDCHF10B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1Y,BF25,0.3,USDCHF25B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1Y,RR10,-1.2375,USDCHF10R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,1Y,RR25,-0.6725,USDCHF25R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2M,ATM,6.465,USDCHFV2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2M,BF10,0.55,USDCHF10B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2M,BF25,0.1575,USDCHF25B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2M,RR10,-0.815,USDCHF10R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2M,RR25,-0.4375,USDCHF25R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2W,ATM,6.435,USDCHFV2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2W,BF10,0.43,USDCHF10B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2W,BF25,0.1325,USDCHF25B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2W,RR10,-0.665,USDCHF10R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,2W,RR25,-0.3525,USDCHF25R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,3M,ATM,6.66,USDCHFV3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,3M,BF10,0.64,USDCHF10B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,3M,BF25,0.1775,USDCHF25B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,3M,RR10,-0.96,USDCHF10R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,3M,RR25,-0.4975,USDCHF25R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,6M,ATM,6.81,USDCHFV6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,6M,BF10,0.805,USDCHF10B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,6M,BF25,0.2175,USDCHF25B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,6M,RR10,-1.07,USDCHF10R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,6M,RR25,-0.5675,USDCHF25R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,9M,ATM,7.05,USDCHFV9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,9M,BF10,0.9575,USDCHF10B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,9M,BF25,0.25,USDCHF25B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,9M,RR10,-1.1425,USDCHF10R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,9M,RR25,-0.6,USDCHF25R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,ON,ATM,5.5975,USDCHFVON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,ON,BF10,0.385,USDCHF10BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,ON,BF25,0.1175,USDCHF25BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,ON,RR10,-0.4625,USDCHF10RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDCHF,ON,RR25,-0.275,USDCHF25RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1M,ATM,9.14,USDJPYV1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1M,BF10,0.7575,USDJPY10B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1M,BF25,0.2425,USDJPY25B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1M,RR10,-3.5325,USDJPY10R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1M,RR25,-1.92,USDJPY25R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1W,ATM,10.88,USDJPYV1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1W,BF10,0.81,USDJPY10B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1W,BF25,0.275,USDJPY25B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1W,RR10,-3.6575,USDJPY10R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1W,RR25,-2.025,USDJPY25R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1Y,ATM,8.77,USDJPYV1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1Y,BF10,1.25,USDJPY10B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1Y,BF25,0.3625,USDJPY25B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1Y,RR10,-1.125,USDJPY10R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,1Y,RR25,-0.5825,USDJPY25R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2M,ATM,9.13,USDJPYV2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2M,BF10,0.7825,USDJPY10B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2M,BF25,0.2375,USDJPY25B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2M,RR10,-3.3575,USDJPY10R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2M,RR25,-1.83,USDJPY25R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2W,ATM,10.065,USDJPYV2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2W,BF10,0.78,USDJPY10B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2W,BF25,0.26,USDJPY25B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2W,RR10,-3.595,USDJPY10R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,2W,RR25,-1.95,USDJPY25R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,3M,ATM,9.105,USDJPYV3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,3M,BF10,0.835,USDJPY10B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,3M,BF25,0.27,USDJPY25B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,3M,RR10,-3.195,USDJPY10R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,3M,RR25,-1.77,USDJPY25R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,6M,ATM,8.85,USDJPYV6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,6M,BF10,1.0,USDJPY10B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,6M,BF25,0.2875,USDJPY25B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,6M,RR10,-2.415,USDJPY10R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,6M,RR25,-1.2925,USDJPY25R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,9M,ATM,8.8,USDJPYV9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,9M,BF10,1.11,USDJPY10B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,9M,BF25,0.3025,USDJPY25B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,9M,RR10,-1.705,USDJPY10R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,9M,RR25,-0.8875,USDJPY25R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,ON,ATM,11.8025,USDJPYVON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,ON,BF10,0.835,USDJPY10BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,ON,BF25,0.2725,USDJPY25BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,ON,RR10,-3.78,USDJPY10RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDJPY,ON,RR25,-2.0425,USDJPY25RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1M,ATM,10.345,USDZARV1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1M,BF10,1.015,USDZAR10B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1M,BF25,0.3075,USDZAR25B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1M,RR10,4.0925,USDZAR10R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1M,RR25,2.1175,USDZAR25R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1W,ATM,10.8675,USDZARV1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1W,BF10,0.9925,USDZAR10B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1W,BF25,0.3025,USDZAR25B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1W,RR10,4.0,USDZAR10R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1W,RR25,2.1325,USDZAR25R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1Y,ATM,11.96,USDZARV1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1Y,BF10,1.04,USDZAR10B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1Y,BF25,0.32,USDZAR25B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1Y,RR10,3.845,USDZAR10R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,1Y,RR25,1.905,USDZAR25R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2M,ATM,10.76,USDZARV2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2M,BF10,1.0,USDZAR10B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2M,BF25,0.3025,USDZAR25B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2M,RR10,4.065,USDZAR10R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2M,RR25,2.0825,USDZAR25R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2W,ATM,10.645,USDZARV2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2W,BF10,0.985,USDZAR10B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2W,BF25,0.3,USDZAR25B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,2W,RR10,4.005,USDZAR10R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
