Account,ALT_SRC,Base Currency,BB Industry Group,BB Industry Sector,BB Industry Subgroup,BB_YK_IDENTIFIER,Bloomberg Identifier,Business Unit,Column 2,Cost,CounterParty,Currency,CUSIP,Desk,DTD BankDebt Interest,DTD Bond Interest P&L,DTD CDS Interest,DTD Cost TransFx,DTD Dividend Interest P&L,DTD External Financing PL,DTD FC Adjustment P&L,DTD Miscellaneous PL,DTD Non Trading PL,DTD Private Fixed Income,DTD REPO Interest,DTD Swap Interest,DTD Total P&L,DTD Total P&L %,DTD Trading P&L,End Date Accr Base Balance,End Date Accr Local Balance,End Date Dirty MV,Executing Counterparty,Financial Type,FiscalYearEndMonth,FSV LEVEL,Fund,Fund Group,Fund Group Description,Future Master Description,Fx,ID_BB_GLOBAL,ID_BB_Unique,ISIN,Issuer Name NM,Issuer Country,Issuer Region,Loan Amount,LOANXID,Local Cost,Market Value %,Market Value Base + Accrued Base Balance,Market Value Local + Accrued Local Balance,Market Value Base,Market Value Local,MTD BankDebt Interest,MTD Bond Interest P&L,MTD CDS Interest,MTD Cost TransFx,MTD Dividend Interest P&L,MTD External Financing PL,MTD FC Adjustment P&L,MTD Miscellaneous PL,MTD Non Trading PL,MTD Private Fixed Income,MTD REPO Interest,MTD Swap Interest,MTD Total P&L,MTD Total P&L %,MTD Trading P&L,NM Strategy,PB Root,PB Country,PB Country Desc,PB Description,Position,Position Block,Previous Month End Market Value Base,Previous Month End Market Value Local,Previous Year End Market Value Base,Previous Year End Market Value Local,Price,PriceSource,Primary Exchange,Prior Day NAV Estimate,Prior Month End NAV Estimate,Prior Month End Price,Prior Year End NAV Estimate,Prior Year End Price,QTD BankDebt Interest,QTD Bond Interest P&L,QTD CDS Interest,QTD Cost TransFx,QTD Dividend Interest P&L,QTD External Financing PL,QTD Miscellaneous PL,QTD Non Trading PL,QTD Private Fixed Income,QTD REPO Interest,QTD Swap Interest,QTD Total P&L,QTD Total P&L %,QTD Trading P&L,Quantity,Related Security,SEDOL,Side Pocket,Start Date Accr Base Balance,Start Date Accr Local Balance,Start Date Dirty MV,Strategy,Symbol,Symbol Description,Total Return Swap,Trade Factor,Trader Name,TRS Quantity,Ultimate Issuer Description,Ultimate Issuer,Underlying ISIN,YTD BankDebt Interest,YTD Bond Interest P&L,YTD CDS Interest,YTD Cost TransFx,YTD Dividend Interest P&L,YTD External Financing PL,YTD FC Adjustment P&L,YTD Miscellaneous PL,YTD Non Trading PL,YTD Private Fixed Income,YTD REPO Interest,YTD Swap Interest,YTD Total P&L,YTD Total P&L %,YTD Trading P&L,Unnamed: 136
BNPP-IPBFX-NMMF,420816637,USD,,,,,,NMMF,,1007783.575,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,-6109.597959,0.317523687,-6109.597959,0,0,-1652.110528,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,5239880,-7.62E-05,-1652.110528,-8590,-1652.110528,-8590,0,0,0,0,0,0,0,0,0,0,0,0,-1652.110528,-0.004834932,-1652.110528,HAHY7,HAHY7,XX,,New PB,1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-1652.110528,-0.001126771,-1652.110528,1000000,,,,0,0,4457.487431,Hybrid,USDBRL091626-197304038,TD 08/14/2026 VD 09/16/2026 SELL BRL VS .BUY USD @ 5.23988000,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-1652.110528,-0.000463051,-1652.110528,
BNPP-IPBFX-NMMF,420816641,USD,,,,,,NMMF,,1004991.143,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,-6094.773466,0.316753239,-6094.773466,0,0,1140.32169,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,5225361,5.26E-05,1140.32169,5929,1140.32169,5929,0,0,0,0,0,0,0,0,0,0,0,0,1140.32169,0.003337173,1140.32169,HAHY7,HAHY7,XX,,New PB,1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,1140.32169,0.000777721,1140.32169,1000000,,,,0,0,7235.095157,Hybrid,USDBRL091626-197304072,TD 08/14/2026 VD 09/16/2026 SELL BRL VS .BUY USD @ 5.22536100,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1140.32169,0.000319608,1140.32169,
BNPP-IPBFX-NMMF,420816635,USD,,,,,,NMMF,,1007339.294,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,-6107.239355,0.317401107,-6107.239355,0,0,-1207.82935,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,5237570,-5.57E-05,-1207.82935,-6280,-1207.82935,-6280,0,0,0,0,0,0,0,0,0,0,0,0,-1207.82935,-0.003534735,-1207.82935,HAHY7,HAHY7,XX,,New PB,1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-1207.82935,-0.000823762,-1207.82935,1000000,,,,0,0,4899.410005,Hybrid,USDBRL091626-197304117,TD 08/14/2026 VD 09/16/2026 SELL BRL VS .BUY USD @ 5.23757000,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-1207.82935,-0.000338528,-1207.82935,
BNPP-IPBFX-NMMF,420816643,USD,,,,,,NMMF,,-1005654.488,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,6098.295036,-0.316936259,6098.295036,0,0,-476.977195,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,-5228810,-2.20E-05,-476.977195,-2480,-476.977195,-2480,0,0,0,0,0,0,0,0,0,0,0,0,-476.977195,-0.001395883,-476.977195,HAHY7,HAHY7,XX,,New PB,-1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-476.977195,-0.000325307,-476.977195,-1000000,,,,0,0,-6575.272232,Hybrid,USDBRL091626-197304310,TD 08/14/2026 VD 09/16/2026 SELL USD VS .BUY BRL @ 5.22881000,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-476.977195,-0.000133686,-476.977195,
BNPP-IPBFX-NMMF,420816647,USD,,,,,,NMMF,,-1012180.228,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,6132.938953,-0.318736748,6132.938953,0,0,6048.763225,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,-5262740,0.000279132,6048.763225,31450,6048.763225,31450,0,0,0,0,0,0,0,0,0,0,0,0,6048.763225,0.017701818,6048.763225,HAHY7,HAHY7,XX,,New PB,-1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,6048.763225,0.004125371,6048.763225,-1000000,,,,0,0,-84.175728,Hybrid,USDBRL091626-197305800,TD 08/14/2026 VD 09/16/2026 SELL USD VS .BUY BRL @ 5.26274000,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,6048.763225,0.001695338,6048.763225,
BNPP-IPBFX-NMMF,420815849,USD,,,,,,NMMF,,2016877.685,PARIUK,CAD.C-CNAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,231.18201,-0.012014827,231.18201,0,0,-19241.54631,,FORWARD,12,,NMMF,,,,0.72069,,,,,,,0,,2798538.8,-0.00088794,-19241.54631,-26698.8,-19241.54631,-26698.8,0,0,0,0,0,0,0,0,0,0,0,0,-19241.54631,-0.056310743,-19241.54631,HAHY7,HAHY7,XX,,New PB,2000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,1.38592,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-19241.54631,-0.013123099,-19241.54631,2000000,,,,0,0,-19472.72832,Hybrid,USDCAD091626-196926189,TD 08/06/2026 VD 09/16/2026 SELL CAD VS .BUY USD @ 1.39926940,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-19241.54631,-0.00539299,-19241.54631,
BNPP-IPBFX-NMMF,420815861,USD,,,,,,NMMF,,2016714.088,PARIUK,CAD.C-CNAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,231.177293,-0.012014582,231.177293,0,0,-19077.94978,,FORWARD,12,,NMMF,,,,0.72069,,,,,,,0,,2798311.8,-0.00088039,-19077.94978,-26471.8,-19077.94978,-26471.8,0,0,0,0,0,0,0,0,0,0,0,0,-19077.94978,-0.055831975,-19077.94978,HAHY7,HAHY7,XX,,New PB,2000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,1.38592,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-19077.94978,-0.013011523,-19077.94978,2000000,,,,0,0,-19309.12708,Hybrid,USDCAD091626-196926248,TD 08/06/2026 VD 09/16/2026 SELL CAD VS .BUY USD @ 1.39915590,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-19077.94978,-0.005347137,-19077.94978,
BNPP-IPBFX-NMMF,420815829,USD,,,,,,NMMF,,2016469.054,PARIUK,CAD.C-CNAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,231.170229,-0.012014215,231.170229,0,0,-18832.91533,,FORWARD,12,,NMMF,,,,0.72069,,,,,,,0,,2797971.8,-0.000869083,-18832.91533,-26131.8,-18832.91533,-26131.8,0,0,0,0,0,0,0,0,0,0,0,0,-18832.91533,-0.055114877,-18832.91533,HAHY7,HAHY7,XX,,New PB,2000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,1.38592,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-18832.91533,-0.012844405,-18832.91533,2000000,,,,0,0,-19064.08556,Hybrid,USDCAD091626-196926410,TD 08/06/2026 VD 09/16/2026 SELL CAD VS .BUY USD @ 1.39898590,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-18832.91533,-0.005278459,-18832.91533,
BNPP-IPBFX-NMMF,420815845,USD,,,,,,NMMF,,2016719.998,PARIUK,CAD.C-CNAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,231.177464,-0.012014591,231.177464,0,0,-19083.85944,,FORWARD,12,,NMMF,,,,0.72069,,,,,,,0,,2798320,-0.000880663,-19083.85944,-26480,-19083.85944,-26480,0,0,0,0,0,0,0,0,0,0,0,0,-19083.85944,-0.055849269,-19083.85944,HAHY7,HAHY7,XX,,New PB,2000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,1.38592,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-19083.85944,-0.013015553,-19083.85944,2000000,,,,0,0,-19315.0369,Hybrid,USDCAD091626-196926494,TD 08/06/2026 VD 09/16/2026 SELL CAD VS .BUY USD @ 1.39916000,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-19083.85944,-0.005348793,-19083.85944,
BNPP-IPBFX-NMMF,420815851,USD,,,,,,NMMF,,2016704.719,PARIUK,CAD.C-CNAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,231.177023,-0.012014568,231.177023,0,0,-19068.58082,,FORWARD,12,,NMMF,,,,0.72069,,,,,,,0,,2798298.8,-0.000879958,-19068.58082,-26458.8,-19068.58082,-26458.8,0,0,0,0,0,0,0,0,0,0,0,0,-19068.58082,-0.055804556,-19068.58082,HAHY7,HAHY7,XX,,New PB,2000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,1.38592,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-19068.58082,-0.013005133,-19068.58082,2000000,,,,0,0,-19299.75784,Hybrid,USDCAD091626-196926498,TD 08/06/2026 VD 09/16/2026 SELL CAD VS .BUY USD @ 1.39914940,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-19068.58082,-0.005344511,-19068.58082,
